shift_date,market,utilization_percent
2016-11-29,8-ATL,47.49674
2016-11-29,9-MIA,37.30663
2016-11-28,1-BAY,43.02524
2016-11-28,2-NY,46.86266
2016-11-28,4-LA,46.61226
2016-11-28,5-CHI,37.62511
2016-11-28,6-DAL,58.57128
2016-11-28,7-HOU,55.77208
2016-11-28,8-ATL,33.98655
2016-11-28,9-MIA,43.31511
2016-11-27,1-BAY,41.39727
2016-11-27,2-NY,52.96543
2016-11-27,4-LA,40.26725
2016-11-27,5-CHI,39.93461
2016-11-27,6-DAL,51.24432
2016-11-27,7-HOU,53.23537
2016-11-27,8-ATL,52.68938
2016-11-27,9-MIA,37.60741
2016-11-26,1-BAY,57.45572
2016-11-26,2-NY,31.94138
2016-11-26,4-LA,38.69669
2016-11-26,5-CHI,45.43417
2016-11-26,6-DAL,51.38362
2016-11-26,7-HOU,57.53632
2016-11-26,8-ATL,72.44847
2016-11-26,9-MIA,36.68227
2016-11-25,1-BAY,60.18122
2016-11-25,2-NY,53.37434
2016-11-25,4-LA,48.25156
2016-11-25,5-CHI,58.38665
2016-11-25,6-DAL,67.44454
2016-11-25,7-HOU,55.44316
2016-11-25,8-ATL,53.35692
2016-11-25,9-MIA,42.03107
2016-11-23,1-BAY,41.76833
2016-11-23,2-NY,27.17581
2016-11-23,4-LA,46.40819
2016-11-23,5-CHI,41.56353
2016-11-23,6-DAL,35.70852
2016-11-23,7-HOU,35.27886
2016-11-23,8-ATL,13.2608
2016-11-23,9-MIA,24.8133
2016-11-22,1-BAY,48.90136
2016-11-22,2-NY,26.1614
2016-11-22,4-LA,31.93358
2016-11-22,5-CHI,31.29118
2016-11-22,6-DAL,43.10808
2016-11-22,7-HOU,45.90073
2016-11-22,8-ATL,35.13814
2016-11-22,9-MIA,42.24741
2016-11-21,1-BAY,53.05374
2016-11-21,2-NY,27.81429
2016-11-21,4-LA,35.91264
2016-11-21,5-CHI,37.99063
2016-11-21,6-DAL,49.00437
2016-11-21,7-HOU,28.13627
2016-11-21,8-ATL,30.24204
2016-11-21,9-MIA,30.45077
2016-11-20,1-BAY,55.83514
2016-11-20,2-NY,37.34962
2016-11-20,4-LA,25.88843
